Title,xPos,yPos,xSize,ySize,Image
Item 1,71,253,202,202,
Item 2,304,253,202,202,
Item 3,537,253,202,202,
Item 4,770,253,202,202,
Item 5,1003,253,202,202,
Item 6,71,486,202,202,
Item 7,304,486,202,202,
Item 8,537,486,202,202,
Item 9,770,486,202,202,
Item 10,1003,486,202,202,
